EmployeeID,LastName,FirstName,Birthday,Address,PhoneNumber,SSS,PhilHealth,TIN,Pagibig,Status,Position,ImmediateSupervisor,BasicSalary,RiceSubsidy,PhoneAllowance,ClothingAllowance,GrossSemiMonthly,HourlyRate
10001,Crisostomo,Jose,02/14/1988,15/5 Ph 1 Bagong Silang Caloocan City,918-123-4567,49-3928174-2,150923459,203-123-456,123456789012,Active,CEO,N/A,62670,1500,1000,1000,31335,373.04
10002,Mata,Christian,10/21/1987,17/8 Ph 2 Cavite,918-987-6543,49-3928174-5,150923460,203-987-654,123456789013,Active,Manager,Crisostomo Jose,42975,1500,800,800,21488,255.8
10003,Villanueva,Antonio,07/30/1990,14/8 Ph 4 Cavite,918-900-9674,72-9374545-4,820644355,341-192-628,450771521829,Active,Manager,Jose Crisostomo,47131,1500,1000,1000,23566,280.54
10004,Reyes,Katrina,01/28/1994,88/9 Ph 4 Quezon City,918-168-9827,15-1582790-3,346520206,387-801-331,186882824138,Active,Manager,Jose Crisostomo,44287,1500,1000,1000,22144,263.61
10005,Lopez,Rosa,09/13/1985,34/8 Ph 5 Makati,918-326-7696,47-2163465-1,505975398,771-649-653,078968510988,Active,Manager,Jose Crisostomo,44673,1500,1000,1000,22336,265.91
10006,Santos,Elena,02/08/1982,59/3 Ph 2 Cavite,918-639-6617,67-9150015-8,740321262,404-541-118,638210339945,Active,Manager,Jose Crisostomo,44974,1500,1000,1000,22487,267.7
10007,Perez,Antonio,11/20/1987,14/6 Ph 5 Caloocan,918-243-7186,13-4029471-7,440785139,403-228-444,196887556094,Active,Manager,Jose Crisostomo,49603,1500,1000,1000,24802,295.26
10008,Dizon,Eva,05/13/1971,94/3 Ph 3 Manila,918-204-6242,52-7065910-1,280695027,337-147-194,525049931343,Active,Manager,Jose Crisostomo,44349,1500,1000,1000,22174,263.98
10009,Reyes,Daniel,01/29/1991,55/8 Ph 5 Quezon City,918-554-4690,16-9818826-6,707797686,758-132-850,235339247167,Active,Manager,Jose Crisostomo,40248,1500,1000,1000,20124,239.57
10010,Lopez,Roberto,09/17/1988,96/6 Ph 1 Makati,918-621-9310,87-8898144-8,142998705,798-232-211,855737198906,Active,Manager,Jose Crisostomo,47000,1500,1000,1000,23500,279.76
10011,Villanueva,Daniel,12/17/1998,39/5 Ph 4 Cavite,918-490-5021,29-6579294-0,183201407,175-104-585,027376679532,Active,Supervisor,Christian Mata,30440,1500,800,800,15220,181.19
